Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A Spectral Count	B Spectral Count	C Spectral Count	D Spectral Count	E Spectral Count	A Unique Spectral Count	B Unique Spectral Count	C Unique Spectral Count	D Unique Spectral Count	E Unique Spectral Count	A Total Spectral Count	B Total Spectral Count	C Total Spectral Count	D Total Spectral Count	E Total Spectral Count	A Intensity	B Intensity	C Intensity	D Intensity	E Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	17	61	61	987	2	3	22	18	16	2	3	22	18	16	219	141	217	213	197	1.9330788E7	5.786685E7	8.1736576E8	4.3901258E8	1.4244115E9	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	0.9921	0.9788	22	3	3	571	1	0	0	2	0	1	0	0	2	0	133	111	108	132	87	3566603.5	0.0	0.0	5510829.5	0.0	
contam_sp|P00698|LYSC_CHICK	P00698	LYSC_CHICK	LYZ	147	Gallus gallus	1:Experimental evidence at protein level	Lysozyme C	0.9764	0.999	1	3	3	3	0	0	0	3	0	0	0	0	3	0	0	0	0	3	0	0.0	0.0	0.0	1.9957509E8	0.0	
contam_sp|P00711|LALBA_BOVIN	P00711	LALBA_BOVIN	LALBA	142	Bos taurus	1:Experimental evidence at protein level	Alpha-lactalbumin	0.9945	0.999	2	4	4	4	2	1	0	1	0	2	1	0	1	0	2	1	0	1	0	1.21551544E8	4.059352E7	0.0	2907311.0	0.0	
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	Bos taurus	1:Experimental evidence at protein level	Serine protease 1	0.9762	0.999	2	2	2	2	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	4.184008E7	0.0	0.0	561179.44	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	5	89	89	89	2	3	11	22	51	2	3	11	22	51	2	3	11	22	51	2.3682298E8	2.1181102E8	1.7478174E8	5.1757347E8	1.9804814E8	
contam_sp|P00766|CTRA_BOVIN	P00766	CTRA_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen A	1.0	0.9989	1	14	14	14	3	3	2	2	4	3	3	2	2	4	3	3	2	2	4	9.003639E8	9.7598746E8	3.935391E7	3.3888506E8	1.1184585E9	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.9892	30	8	8	2054	1	1	2	2	2	1	1	2	2	2	325	284	467	458	520	0.0	277756.0	3.6368675E8	2.0756556E7	741357.8	
contam_sp|P02534|K1M1_SHEEP	P02534	K1M1_SHEEP		412	Ovis aries	1:Experimental evidence at protein level	Keratin, type I microfibrillar 48 kDa, component 8C-1	1.0	0.999	15	20	4	443	0	3	5	3	9	0	0	0	0	4	100	71	79	82	111	0.0	2.2506998E8	1.805985E8	9.732636E7	7.965134E8	
contam_sp|P02539|K2M1_SHEEP	P02539	K2M1_SHEEP		109	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar (Fragment)	1.0	0.999	8	3	3	16	0	0	0	0	3	0	0	0	0	3	4	3	1	2	6	0.0	0.0	0.0	0.0	2.35549E7	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.999	6	16	16	16	9	6	0	1	0	9	6	0	1	0	9	6	0	1	0	2.718409E9	2.2821033E9	0.0	1090384.8	0.0	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.9986	0.9964	2	7	7	7	3	4	0	0	0	3	4	0	0	0	3	4	0	0	0	5.3212954E8	3.9593286E8	0.0	0.0	0.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	1.0	0.999	3	49	49	49	16	13	5	10	5	16	13	5	10	5	16	13	5	10	5	2.9573466E9	3.031649E9	3.0457712E8	7.143119E8	8.443502E8	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	53	876	876	1994	113	91	198	155	319	113	91	198	155	319	171	107	617	538	561	2.8614736E10	1.8375868E10	6.6581156E10	5.6523104E10	1.09720265E11	
contam_sp|P25690|K1M2_SHEEP	P25690	K1M2_SHEEP		404	Ovis aries	3:Protein inferred from homology	Keratin, type I microfibrillar, 47.6 kDa	0.8375	0.9564	10	8	0	27	0	0	1	6	1	0	0	0	0	0	0	4	8	8	7	0.0	0.0	2.1794216E7	3.1666925E8	1.0738157E8	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	1.0	0.9985	17	8	2	108	3	0	0	0	5	1	0	0	0	1	28	5	19	30	26	3.9994336E7	0.0	0.0	0.0	3.8125546E8	
contam_sp|P68082|MYG_HORSE	P68082	MYG_HORSE	MB	154	Equus caballus	1:Experimental evidence at protein level	Myoglobin	0.7734	0.988	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	2410347.0	
sp|A0A024R1R8|TMA7B_HUMAN	A0A024R1R8	TMA7B_HUMAN	TMA7B	64	Homo sapiens	3:Protein inferred from homology	Translation machinery-associated protein 7B	0.9998	0.9987	3	8	8	9	0	0	3	3	2	0	0	3	3	2	0	0	3	4	2	0.0	0.0	4.054091E7	1.6079904E8	1.3410294E8	
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	0.9999	0.999	5	8	8	59	1	2	2	1	2	1	2	2	1	2	12	8	12	14	13	8.491218E7	1.1921147E8	1.4314592E8	4.1633565E8	4.941807E8	
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	1.0	0.9988	3	27	25	27	3	2	12	6	4	2	2	12	5	4	3	2	12	6	4	2.8085568E9	1.674206E9	5.4207315E8	3.5380624E8	8.620175E7	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	0.7037	0.9829	1	16	0	16	5	3	2	3	3	0	0	0	0	0	5	3	2	3	3	4.3727616E8	3.5343594E8	3.320014E7	6.071534E8	8.603503E8	sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN
sp|A0A075B6J1|LV537_HUMAN	A0A075B6J1	LV537_HUMAN	IGLV5-37	123	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 5-37	0.9726	0.9988	1	2	2	2	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0.0	0.0	0.0	6.1368036E7	1.2205736E7	
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 2-18	1.0	0.9989	1	13	13	13	2	2	4	3	2	2	2	4	3	2	2	2	4	3	2	3.4532276E7	8550583.0	4.6398696E7	6.126433E7	1.4348178E8	
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 3-16	0.9994	0.999	1	50	0	50	13	6	11	13	7	0	0	0	0	0	13	6	11	13	7	7.538131E9	3.7212068E9	7.6472207E9	6.5525376E9	8.4157353E9	sp|P01717|LV325_HUMAN, sp|P01718|LV327_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 3-10	0.9764	0.999	1	13	13	13	2	2	2	4	3	2	2	2	4	3	2	2	2	4	3	2.6930646E8	6.2764915E8	7.167804E8	2.8724024E9	8.7283603E8	
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 3-9	0.6733	0.9803	2	4	4	5	2	0	1	0	1	2	0	1	0	1	2	0	1	1	1	4.5662772E7	0.0	1.2786984E8	0.0	6.720267E7	
sp|A0A075B6N1|TVB19_HUMAN	A0A075B6N1	TVB19_HUMAN	TRBV19	114	Homo sapiens	1:Experimental evidence at protein level	T cell receptor beta variable 19	0.9764	0.999	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.0	0.0	1.5601498E7	0.0	0.0	
sp|A0A075B6N2|TVBT1_HUMAN	A0A075B6N2	TVBT1_HUMAN	TRBV20-1	111	Homo sapiens	3:Protein inferred from homology	T cell receptor beta variable 20-1	0.9968	0.9986	2	5	5	5	2	1	1	1	0	2	1	1	1	0	2	1	1	1	0	2.8063808E7	2.5597908E7	1.4123785E7	8027318.0	0.0	
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	0.9761	0.999	2	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	2.0227026E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-64	1.0	0.999	2	34	26	34	5	3	11	6	9	4	2	9	4	7	5	3	11	6	9	4.7269568E8	3.2128045E8	5.416351E8	9.588603E8	7.028685E8	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9801	0.999	2	3	1	3	0	0	0	2	1	0	0	0	0	1	0	0	0	2	1	0.0	0.0	0.0	4.712881E7	1.4290451E7	
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1-27	0.9764	0.999	2	2	2	6	0	0	0	1	1	0	0	0	1	1	2	0	1	1	2	0.0	0.0	0.0	2.1542308E7	4.7943764E7	
sp|A0A075B6S6|KVD30_HUMAN	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2D-30	0.9763	0.999	4	7	7	11	0	0	3	3	1	0	0	3	3	1	0	0	4	5	2	0.0	0.0	6.837933E7	2.655476E7	4.3751188E7	
